scenario,instance,reschedule_rate_pct,highstab_threshold_P50,method,trial,union_hv,highstab_hv,aoc
la21,la21_la21_delay147,35,16,Memetic+repair,0,1.018598,0.061344,0.591807
la21,la21_la21_delay147,35,16,Memetic+repair,1,1.021944,0.061344,0.515302
la21,la21_la21_delay147,35,16,Memetic+repair,2,1.021944,0.061344,0.629983
la21,la21_la21_delay147,35,16,Memetic+repair,3,1.021944,0.061344,0.553999
la21,la21_la21_delay147,35,16,Memetic+repair,4,1.021944,0.061344,0.594270
la21,la21_la21_delay147,35,16,Memetic+repair,5,1.021944,0.061344,0.594741
la21,la21_la21_delay147,35,16,Memetic+repair,6,1.021944,0.061344,0.611131
la21,la21_la21_delay147,35,16,Memetic+repair,7,1.021944,0.061344,0.591553
la21,la21_la21_delay147,35,16,Memetic+repair,8,1.021944,0.061344,0.601561
la21,la21_la21_delay147,35,16,Memetic+repair,9,1.021944,0.061344,0.585092
la21,la21_la21_delay147,35,16,Memetic+PR,0,1.021944,0.061344,0.572765
la21,la21_la21_delay147,35,16,Memetic+PR,1,1.021944,0.061344,0.511331
la21,la21_la21_delay147,35,16,Memetic+PR,2,1.021944,0.061344,0.545878
la21,la21_la21_delay147,35,16,Memetic+PR,3,1.021944,0.061344,0.521395
la21,la21_la21_delay147,35,16,Memetic+PR,4,1.021944,0.061344,0.533638
la21,la21_la21_delay147,35,16,Memetic+PR,5,1.021944,0.061344,0.556915
la21,la21_la21_delay147,35,16,Memetic+PR,6,1.021944,0.061344,0.577690
la21,la21_la21_delay147,35,16,Memetic+PR,7,1.021944,0.061344,0.524347
la21,la21_la21_delay147,35,16,Memetic+PR,8,1.021944,0.061344,0.567265
la21,la21_la21_delay147,35,16,Memetic+PR,9,1.021944,0.061344,0.555342
la36M,la36_la36_middle,54,8,ILS-baseline,0,0.538973,0.015720,0.525610
la36M,la36_la36_middle,54,8,ILS-baseline,1,0.538973,0.015720,0.514434
la36M,la36_la36_middle,54,8,ILS-baseline,2,0.538973,0.015720,0.505059
la36M,la36_la36_middle,54,8,ILS-baseline,3,0.538973,0.015720,0.513317
la36M,la36_la36_middle,54,8,ILS-baseline,4,0.538973,0.015720,0.503006
la36M,la36_la36_middle,54,8,ILS-baseline,5,0.538973,0.015720,0.498727
la36M,la36_la36_middle,54,8,ILS-baseline,6,0.538973,0.015720,0.517571
la36M,la36_la36_middle,54,8,ILS-baseline,7,0.538973,0.015720,0.512936
la36M,la36_la36_middle,54,8,ILS-baseline,8,0.538973,0.015720,0.501718
la36M,la36_la36_middle,54,8,ILS-baseline,9,0.538973,0.015720,0.507297
la36M,la36_la36_middle,54,8,ILS+repair,0,0.538973,0.015720,0.526364
la36M,la36_la36_middle,54,8,ILS+repair,1,0.538973,0.015720,0.514785
la36M,la36_la36_middle,54,8,ILS+repair,2,0.538973,0.015720,0.506295
la36M,la36_la36_middle,54,8,ILS+repair,3,0.538973,0.015720,0.514627
la36M,la36_la36_middle,54,8,ILS+repair,4,0.538973,0.015720,0.505890
la36M,la36_la36_middle,54,8,ILS+repair,5,0.538973,0.015720,0.500782
la36M,la36_la36_middle,54,8,ILS+repair,6,0.538973,0.015720,0.521462
la36M,la36_la36_middle,54,8,ILS+repair,7,0.538973,0.015720,0.511999
la36M,la36_la36_middle,54,8,ILS+repair,8,0.538973,0.015720,0.502259
la36M,la36_la36_middle,54,8,ILS+repair,9,0.538973,0.015720,0.508629
la36M,la36_la36_middle,54,8,ILS+PR,0,0.538973,0.015720,0.526710
la36M,la36_la36_middle,54,8,ILS+PR,1,0.538973,0.015720,0.515336
la36M,la36_la36_middle,54,8,ILS+PR,2,0.538973,0.015720,0.509619
la36M,la36_la36_middle,54,8,ILS+PR,3,0.538973,0.015720,0.514800
la36M,la36_la36_middle,54,8,ILS+PR,4,0.538973,0.015720,0.505788
la36M,la36_la36_middle,54,8,ILS+PR,5,0.538973,0.015720,0.500275
la36M,la36_la36_middle,54,8,ILS+PR,6,0.538973,0.015720,0.518557
la36M,la36_la36_middle,54,8,ILS+PR,7,0.538973,0.015720,0.511921
la36M,la36_la36_middle,54,8,ILS+PR,8,0.538973,0.015720,0.502709
la36M,la36_la36_middle,54,8,ILS+PR,9,0.538973,0.015720,0.509189
la36M,la36_la36_middle,54,8,GA,0,0.495112,0.000000,0.098150
la36M,la36_la36_middle,54,8,GA,1,0.498633,0.000000,0.131485
la36M,la36_la36_middle,54,8,GA,2,0.512244,0.000000,0.312382
la36M,la36_la36_middle,54,8,GA,3,0.506351,0.000000,0.303500
